name,description,age,created_in,cost
Archer,Quick and light. Weak at close range; excels at battle from distance,Feudal,Archery Range,{"Wood": 25;"Gold": 45}
Crossbowman,Upgraded archer,Castle,Archery Range,{"Wood": 25;"Gold": 45}
Arbalest,Upgraded crossbowman,Imperial,Archery Range,{"Wood": 25;"Gold": 45}
Cavalry Archer,Fast with ranged attack. Ideal for hit-and-run attacks,Castle,Archery Range,{"Wood": 40;"Gold": 70}
Heavy Cavalry Archer,Upgraded Cavalry Archer,Imperial,Archery Range,{"Wood": 40;"Gold": 70}
Hand Cannoneer,Powerful close attack; inaccurate at range. Attack bonus against spearman +11 in total,Imperial,Archery Range,{"Food": 45;"Gold": 50}
Skirmisher,Ranged unit equipped with armor vs. archer attacks,Feudal,Archery Range,{"Food": 25;"Wood": 35}
Elite Skirmisher,Upgraded skirmisher,Castle,Archery Range,{"Food": 25;"Wood": 35}
Eagle Warrior,Fast infantry with extensive sight; resists conversion; attack bonus vs. Monks,Dark,Barracks,{"info":"1 Unit free at the start of the game for Aztecs and Mayans"}
Eagle Warrior,Fast infantry with extensive sight; resists conversion; attack bonus vs. Monks,Castle,Barracks,{"Food": 20;"Gold": 50}
Elite Eagle Warrior,Upgraded Eagle Warrior,Imperial,Barracks,{"Food": 20;"Gold": 50}
Spearman,Medium infantry,Feudal,Barracks,{"Food": 35;"Wood": 15}
Pikeman,Upgraded Spearman,Castle,Barracks,{"Food": 35;"Wood": 25}
Halberdier,Upgraded Pikeman,Imperial,Barracks,{"Food": 35;"Wood": 25}
Militia,Basic infantry swordsman. Quick and cheap to create,Dark,Barracks,{"Food": 60;"Gold": 20}
Man-at-Arms,Upgraded Militia. Attack bonus vs. buildings,Feudal,Barracks,{"Food": 60;"Gold": 20}
Long Swordsman,Upgraded Man-at-Arms,Castle,Barracks,{"Food": 60;"Gold": 20}
Two-Handed Swordsman,Upgraded Long Swordsman. Attack bonus vs. buildings,Imperial,Barracks,{"Food": 60;"Gold": 20}
Champion,Upgraded Two-Handed Swordsman,Imperial,Barracks,{"Food": 60;"Gold": 20}
King,Cannot be produced so the cost and build time just for the sake of interest,Dark,Castle,{"Food": 50}
Petard,Demolition infantry unit armed with explosives. Bonuses add up - for example against walls and gates: +500 buildings +900 walls = +1400 bonus attack,Castle,Castle,{"Food": 80;"Gold": 20}
Trebuchet,Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Imperial,Castle,{"Wood": 200;"Gold": 200}
Trebuchet (packed),Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Imperial,Castle,{"Wood": 200;"Gold": 200}
Cannon Galleon,Long-range warship used to attack targets on shore to establish beachhead. Fires slowly and has minimum range,Imperial,Dock,{"Wood": 200;"Gold": 150}
Elite Cannon Galleon,Upgraded Cannon Galleon,Imperial,Dock,{"Wood": 200;"Gold": 150}
Demolition Ship,Filled with explosives. Self-destructs when used. Pilot near enemy ships and detonate to wrest control of the sea from an entrenched opponent,Castle,Dock,{"Wood": 70;"Gold": 50}
Heavy Demolition Ship,Upgraded Demolition Ship,Imperial,Dock,{"Wood": 70;"Gold": 50}
Fire Ship,Spews fire at other ships. Good at sinking galleys. Attack shows pierce attack,Castle,Dock,{"Wood": 75;"Gold": 45}
Fast Fire Ship,Upgraded Fire Ship,Imperial,Dock,{"Wood": 75;"Gold": 45}
Galley,Small and fast ship with weak attack. Used to scout the water and for early attacks on enemy fishing fleets,Feudal,Dock,{"Wood": 90;"Gold": 30}
War Galley,Upgraded Galley,Castle,Dock,{"Wood": 90;"Gold": 30}
Galleon,Upgraded War Galley,Imperial,Dock,{"Wood": 90;"Gold": 30}
Longboat,Viking unique unit. Fires multiple arrows. volley of 4 arrows (7-1-1-1). Castle needed. Because of the multiple arrows the delay between starts of attacks is roughly 3.34,Castle,Dock,{"Wood": 80;"Gold": 40}
Elite Longboat,Upgraded Longboat,Imperial,Dock,{"Wood": 80;"Gold": 40}
Fishing Ship,Ship to harvest fish (resource),Dark,Dock,{"Wood": 75}
Trade Cog,Movement rate 2.00 with caravan,Feudal,Dock,{"Wood": 100;"Gold": 50}
Transport Ship,Ship to carry units. Garrison inside 5 (10 with careening and 20 with dry dock),Feudal,Dock,{"Wood": 125}
Turtle Ship,Korean unique unit. Slow and ironclad battleship used to destroy other ships at close range,Castle,Dock,{"Wood": 200;"Gold": 200}
Elite Turtle Ship,Upgraded Turtle Ship,Imperial,Dock,{"Wood": 200;"Gold": 200}
Horse,Can be used as scout,Dark,Gaia,{"Cost":"No cost"}
Wolf,Wild wolf. Gives no food just kills people. Line of sight also depends on difficulty (4-12 LOS),Dark,Gaia,{"Cost":"No cost"}
